,date,open,high,low,close,volume,average,barCount
0,2024-03-27 09:30:00-04:00,115.0,120.0,115.0,117.5,310659.0,116.576,351
1,2024-03-27 10:00:00-04:00,119.0,135.0,117.1,133.34,1037636.0,130.71,1754
2,2024-03-27 12:00:00-04:00,133.2,133.75,126.92,129.9,1854893.0,130.089,2716
3,2024-03-27 14:00:00-04:00,129.99,132.0,129.81,131.0,1595242.0,130.305,2994
4,2024-03-28 09:30:00-04:00,137.93,137.93,133.0,135.0,82592.0,135.204,134
5,2024-03-28 10:00:00-04:00,135.0,135.1,131.72,133.0,844419.0,133.199,1400
6,2024-03-28 12:00:00-04:00,133.0,133.4,129.96,132.0,581265.0,132.678,1704
7,2024-03-28 14:00:00-04:00,131.96,136.88,131.95,135.0,560352.0,134.816,2406
8,2024-04-01 09:30:00-04:00,141.01,143.1,137.07,138.63,52359.0,138.401,170
9,2024-04-01 10:00:00-04:00,138.61,143.0,138.22,140.97,224581.0,139.543,883
10,2024-04-01 12:00:00-04:00,140.97,142.39,140.0,141.92,226819.0,140.85,1301
11,2024-04-01 14:00:00-04:00,141.92,144.33,140.21,143.34,380278.0,141.773,2184
12,2024-04-02 09:30:00-04:00,142.85,143.01,138.66,142.07,1632352.0,141.683,5951
13,2024-04-02 10:00:00-04:00,142.07,147.48,141.61,146.2,2837009.0,144.513,12195
14,2024-04-02 12:00:00-04:00,145.82,152.48,144.91,151.24,2594043.0,148.986,12718
15,2024-04-02 14:00:00-04:00,151.15,151.49,138.64,140.0,4670480.0,143.217,19163
16,2024-04-03 09:30:00-04:00,142.3,142.3,138.55,140.09,1080874.0,140.084,3346
17,2024-04-03 10:00:00-04:00,140.18,144.0,138.88,140.18,2649987.0,140.869,7806
18,2024-04-03 12:00:00-04:00,140.1,141.34,138.16,139.14,1058771.0,139.778,4590
19,2024-04-03 14:00:00-04:00,139.08,140.0,135.8,137.33,2156242.0,137.695,11735
20,2024-04-04 09:30:00-04:00,136.0,137.44,133.5,136.03,713767.0,135.544,3144
21,2024-04-04 10:00:00-04:00,136.0,139.35,135.03,136.81,1621381.0,137.707,7083
22,2024-04-04 12:00:00-04:00,136.9,137.03,129.51,131.31,4258268.0,132.349,13956
23,2024-04-04 14:00:00-04:00,131.31,131.33,125.26,126.12,5471184.0,126.951,20585
24,2024-04-05 09:30:00-04:00,125.5,125.95,119.0,123.03,3603801.0,122.213,13194
25,2024-04-05 10:00:00-04:00,123.03,125.96,121.42,124.97,4251704.0,123.938,18088
26,2024-04-05 12:00:00-04:00,125.04,128.18,124.02,124.42,2625905.0,125.899,14386
27,2024-04-05 14:00:00-04:00,124.38,124.79,122.53,122.67,2900327.0,123.423,15839
28,2024-04-08 09:30:00-04:00,126.13,131.95,125.86,130.17,1916934.0,128.711,8606
29,2024-04-08 10:00:00-04:00,130.03,131.13,128.81,129.45,2493599.0,130.105,14316
30,2024-04-08 12:00:00-04:00,129.43,130.12,129.11,129.19,1088882.0,129.74,5966
31,2024-04-08 14:00:00-04:00,129.13,130.98,128.53,129.96,2861557.0,129.937,13654
